title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source
Marvel's Guardians of the Galaxy - Episode 4: Who Needs You,10/10/2017,Telltale Games,Telltale Games,Third-Person Adventure,Rated T For Teen,6.7,PlayStation 4,68,dataset3
Marvel's Guardians of the Galaxy - Episode 4: Who Needs You,10/10/2017,Telltale Games,Telltale Games,Third-Person Adventure,Rated T For Teen,6.7,Xbox One,73,dataset3
Marvel's Guardians of the Galaxy - Episode 4: Who Needs You,10/10/2017,Telltale Games,Telltale Games,Third-Person Adventure,Rated T For Teen,6.7,PC,71,dataset3
The Sims 4: Island Living,6/21/2019,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,4.8,PC,84,dataset3
The Sims 4: Island Living,6/21/2019,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,4.8,PlayStation 4,tbd,dataset3
The Sims 4: Island Living,6/21/2019,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,4.8,Xbox One,tbd,dataset3
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,3/27/2018,Gust,Koei Tecmo Games,JRPG,Rated T For Teen,7.1,PlayStation 4,74,dataset3
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,3/27/2018,Gust,Koei Tecmo Games,JRPG,Rated T For Teen,7.1,Nintendo Switch,64,dataset3
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,3/27/2018,Gust,Koei Tecmo Games,JRPG,Rated T For Teen,7.1,PC,tbd,dataset3
Bloody Roar 3,6/25/2001,Eighting,Activision,3D Fighting,Rated T For Teen,8.1,PlayStation 2,71,dataset3
Knockout Kings 2002,3/4/2002,Electronic Arts,Electronic Arts,Combat Sport,Rated T For Teen,,Xbox,78,dataset3
Knockout Kings 2002,3/4/2002,Electronic Arts,Electronic Arts,Combat Sport,Rated T For Teen,,PlayStation 2,76,dataset3
ZEN Pinball 2: Aliens Vs. Pinball,4/26/2016,Zen Studios,Zen Studios,Pinball,,6.1,PlayStation 4,84,dataset3
ZEN Pinball 2: Aliens Vs. Pinball,4/26/2016,Zen Studios,Zen Studios,Pinball,,6.1,PlayStation Vita,tbd,dataset3
NHL 06,9/6/2005,EA Canada,EA Sports,Hockey Sim,Rated E +10 For Everyone +10,,PC,77,dataset3
NHL 06,9/6/2005,EA Canada,EA Sports,Hockey Sim,Rated E +10 For Everyone +10,,Xbox,79,dataset3
NHL 06,9/6/2005,EA Canada,EA Sports,Hockey Sim,Rated E +10 For Everyone +10,,GameCube,78,dataset3
NHL 06,9/6/2005,EA Canada,EA Sports,Hockey Sim,Rated E +10 For Everyone +10,,PlayStation 2,78,dataset3
Clockwork Tales: Of Glass and Ink,1/22/2016,Artifex Mundi,Artifex Mundi,Hidden Object,Rated T For Teen,,Xbox One,70,dataset3
Clockwork Tales: Of Glass and Ink,1/22/2016,Artifex Mundi,Artifex Mundi,Hidden Object,Rated T For Teen,,PlayStation 4,tbd,dataset3
Battlefield 4,10/19/2013,EA DICE,Electronic Arts,FPS,Rated M For Mature,6.3,PlayStation 4,85,dataset3
Battlefield 4,10/19/2013,EA DICE,Electronic Arts,FPS,Rated M For Mature,6.3,Xbox 360,79,dataset3
Battlefield 4,10/19/2013,EA DICE,Electronic Arts,FPS,Rated M For Mature,6.3,PlayStation 3,80,dataset3
Battlefield 4,10/19/2013,EA DICE,Electronic Arts,FPS,Rated M For Mature,6.3,PC,81,dataset3
Battlefield 4,10/19/2013,EA DICE,Electronic Arts,FPS,Rated M For Mature,6.3,Xbox One,81,dataset3
Dynasty Warriors: Gundam 3,6/28/2011,Omega Force,Namco Bandai Games,3D Beat-'Em-Up,Rated T For Teen,7.8,PlayStation 3,58,dataset3
Dynasty Warriors: Gundam 3,6/28/2011,Omega Force,Namco Bandai Games,3D Beat-'Em-Up,Rated T For Teen,7.8,Xbox 360,65,dataset3
The Walking Dead: Season Two Episode 4 - Amid the Ruins,7/22/2014,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,7.9,PC,78,dataset3
The Walking Dead: Season Two Episode 4 - Amid the Ruins,7/22/2014,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,7.9,PlayStation 3,78,dataset3
The Walking Dead: Season Two Episode 4 - Amid the Ruins,7/22/2014,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,7.9,Xbox 360,71,dataset3
The Walking Dead: Season Two Episode 4 - Amid the Ruins,7/22/2014,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,7.9,iOS (iPhone/iPad),tbd,dataset3
Angry Video Game Nerd I & II Deluxe,10/30/2020,FreakZone,Screenwave Media,Compilation,Rated M For Mature,8.0,Nintendo Switch,75,dataset3
Angry Video Game Nerd I & II Deluxe,10/30/2020,FreakZone,Screenwave Media,Compilation,Rated M For Mature,8.0,Xbox One,tbd,dataset3
Final Fantasy Crystal Chronicles: Ring of Fates,3/11/2008,Square Enix,Square Enix,Action RPG,Rated E +10 For Everyone +10,7.1,DS,77,dataset3
Maskmaker,4/20/2021,Innerspace VR,MWM Interactive,First-Person Adventure,,,PC,75,dataset3
Maskmaker,4/20/2021,Innerspace VR,MWM Interactive,First-Person Adventure,,,PlayStation 4,63,dataset3
Pokemon UNITE,7/21/2021,TiMi Studios,The Pokemon Company,MOBA,,4.0,Nintendo Switch,70,dataset3
Pokemon UNITE,7/21/2021,TiMi Studios,The Pokemon Company,MOBA,,4.0,iOS (iPhone/iPad),tbd,dataset3
Marvel Avengers: Battle for Earth,10/30/2012,Ubisoft Quebec,Ubisoft,3D Fighting,Rated T For Teen,7.1,Wii U,50,dataset3
Marvel Avengers: Battle for Earth,10/30/2012,Ubisoft Quebec,Ubisoft,3D Fighting,Rated T For Teen,7.1,Xbox 360,62,dataset3
BattleZone (2006),11/6/2006,Paradigm Entertainment,Atari SA,Vehicle Combat Sim,Rated E +10 For Everyone +10,,PSP,57,dataset3
King Cashing 2,2/28/2013,,,Action,,5.5,iOS (iPhone/iPad),85,dataset3
Inertial Drift,9/11/2020,Level 91 Entertainment,PQube,Auto Racing,Rated E For Everyone,5.7,Xbox One,84,dataset3
Inertial Drift,9/11/2020,Level 91 Entertainment,PQube,Auto Racing,Rated E For Everyone,5.7,PlayStation 4,74,dataset3
Inertial Drift,9/11/2020,Level 91 Entertainment,PQube,Auto Racing,Rated E For Everyone,5.7,Nintendo Switch,79,dataset3
Inertial Drift,9/11/2020,Level 91 Entertainment,PQube,Auto Racing,Rated E For Everyone,5.7,PC,89,dataset3
Inertial Drift,9/11/2020,Level 91 Entertainment,PQube,Auto Racing,Rated E For Everyone,5.7,PlayStation 5,78,dataset3
Inertial Drift,9/11/2020,Level 91 Entertainment,PQube,Auto Racing,Rated E For Everyone,5.7,Xbox Series X,tbd,dataset3
Zenonia 4: Return of the Legend,12/21/2011,GAMEVIL Inc.,GAMEVIL Inc.,Action RPG,,7.1,iOS (iPhone/iPad),77,dataset3
Motor Mayhem: Vehicular Combat League,6/20/2001,Beyond Games,Infogrames,Vehicle Combat Sim,Rated T For Teen,,PlayStation 2,59,dataset3
Knightmare Tower,8/1/2013,Juicy Beast Studio,Juicy Beast Studio,Action RPG,,,iOS (iPhone/iPad),84,dataset3
Knightmare Tower,8/1/2013,Juicy Beast Studio,Juicy Beast Studio,Action RPG,,,PC,tbd,dataset3
Fast Lanes Bowling,1/7/2004,Lab Rats Games,Enlight Software,Bowling,Rated E For Everyone,,PC,51,dataset3
Crush Your Enemies!,7/13/2016,Vile Monarch,Gambitious,Real-Time Tactics,,6.4,PC,63,dataset3
Crush Your Enemies!,7/13/2016,Vile Monarch,Gambitious,Real-Time Tactics,,6.4,iOS (iPhone/iPad),tbd,dataset3
Crush Your Enemies!,7/13/2016,Vile Monarch,Gambitious,Real-Time Tactics,,6.4,Nintendo Switch,tbd,dataset3
SingStar Legends,11/4/2008,SCEE London Studio,SCEA,Rhythm,Rated T For Teen,7.8,PlayStation 2,76,dataset3
Supernauts,6/25/2014,Grand Cru Games,Grand Cru Games,Action,,,iOS (iPhone/iPad),71,dataset3
Galactic Civilizations,3/26/2003,Stardock,Strategy First,4X Strategy,Rated E For Everyone,7.0,PC,83,dataset3
Pokemon Scarlet,11/18/2022,Game Freak,Nintendo,Trainer RPG,Rated E For Everyone,3.4,Nintendo Switch,72,dataset3
Pokemon Art Academy,10/24/2014,Headstrong Games,Nintendo,Edutainment,Rated E For Everyone,7.4,3DS,76,dataset3
Disney Illusion Island,7/28/2023,Dlala Studios,Disney Interactive Studios,2D Platformer,,6.3,Nintendo Switch,73,dataset3
Suicide Guy,5/10/2018,Chubby Pixel,Chubby Pixel,Action Adventure,Rated T For Teen,6.1,PC,tbd,dataset3
Suicide Guy,5/10/2018,Chubby Pixel,Chubby Pixel,Action Adventure,Rated T For Teen,6.1,PlayStation 4,70,dataset3
Suicide Guy,5/10/2018,Chubby Pixel,Chubby Pixel,Action Adventure,Rated T For Teen,6.1,Nintendo Switch,55,dataset3
Solar Ash,12/2/2021,Heart Machine,Annapurna Interactive,Action Adventure,Rated T For Teen,7.0,PC,78,dataset3
Solar Ash,12/2/2021,Heart Machine,Annapurna Interactive,Action Adventure,Rated T For Teen,7.0,PlayStation 5,77,dataset3
Solar Ash,12/2/2021,Heart Machine,Annapurna Interactive,Action Adventure,Rated T For Teen,7.0,PlayStation 4,tbd,dataset3
Solar Ash,12/2/2021,Heart Machine,Annapurna Interactive,Action Adventure,Rated T For Teen,7.0,Nintendo Switch,tbd,dataset3
Solar Ash,12/2/2021,Heart Machine,Annapurna Interactive,Action Adventure,Rated T For Teen,7.0,Xbox Series X,tbd,dataset3
Ever Forward,8/13/2020,Pathea Games,Pathea Games,Action Adventure,Rated E +10 For Everyone +10,6.3,PC,65,dataset3
Ever Forward,8/13/2020,Pathea Games,Pathea Games,Action Adventure,Rated E +10 For Everyone +10,6.3,Xbox One,tbd,dataset3
Ever Forward,8/13/2020,Pathea Games,Pathea Games,Action Adventure,Rated E +10 For Everyone +10,6.3,Nintendo Switch,tbd,dataset3
Ever Forward,8/13/2020,Pathea Games,Pathea Games,Action Adventure,Rated E +10 For Everyone +10,6.3,PlayStation 5,tbd,dataset3
Time Machine: Rogue Pilot,3/13/2012,Lesta Studio,Lesta Studio,Matching Puzzle,Rated E For Everyone,,PlayStation 3,64,dataset3
MotionSports Adrenaline,11/1/2011,Ubisoft Vancouver,Ubisoft,Sports,Rated E For Everyone,6.4,PlayStation 3,tbd,dataset3
MotionSports Adrenaline,11/1/2011,Ubisoft Vancouver,Ubisoft,Sports,Rated E For Everyone,6.4,Xbox 360,41,dataset3
J.U.L.I.A.: Among the Stars,9/12/2014,Cardboard Box Entertainment,Cardboard Box Entertainment,Point-and-Click,,7.7,PC,71,dataset3
Fuga: Melodies of Steel,7/29/2021,CyberConnect2,CyberConnect2,RPG,,7.9,Nintendo Switch,82,dataset3
Fuga: Melodies of Steel,7/29/2021,CyberConnect2,CyberConnect2,RPG,,7.9,PC,84,dataset3
Fuga: Melodies of Steel,7/29/2021,CyberConnect2,CyberConnect2,RPG,,7.9,Xbox Series X,89,dataset3
Fuga: Melodies of Steel,7/29/2021,CyberConnect2,CyberConnect2,RPG,,7.9,PlayStation 5,tbd,dataset3
Karoshi,2/8/2011,YoYo Games,YoYo Games,2D Platformer,,5.8,iOS (iPhone/iPad),86,dataset3
Mercedes-Benz World Racing,3/20/2003,Synetic,TDK Mediactive,Auto Racing Sim,Rated E For Everyone,,Xbox,56,dataset3
Escape From Paradise City,10/26/2007,Sirius Games,cdv Software,RPG,Rated M For Mature,7.0,PC,62,dataset3
Grand Theft Auto: Vice City Stories,10/31/2006,Rockstar Leeds,Rockstar Games,Open-World Action,Rated M For Mature,8.4,PlayStation 2,75,dataset3
Grand Theft Auto: Vice City Stories,10/31/2006,Rockstar Leeds,Rockstar Games,Open-World Action,Rated M For Mature,8.4,PSP,86,dataset3
Mario Party Advance,3/28/2005,AI,Nintendo,Party,Rated E For Everyone,4.7,Game Boy Advance,54,dataset3
You're in the Movies,11/17/2008,Zoe Mode,Codemasters,Application,Rated E For Everyone,3.0,Xbox 360,55,dataset3
Citizen Sleeper,5/5/2022,Jump Over The Age,Fellow Traveller,Western RPG,,7.3,PC,82,dataset3
Citizen Sleeper,5/5/2022,Jump Over The Age,Fellow Traveller,Western RPG,,7.3,Xbox Series X,85,dataset3
Citizen Sleeper,5/5/2022,Jump Over The Age,Fellow Traveller,Western RPG,,7.3,Xbox One,tbd,dataset3
Citizen Sleeper,5/5/2022,Jump Over The Age,Fellow Traveller,Western RPG,,7.3,Nintendo Switch,81,dataset3
Citizen Sleeper,5/5/2022,Jump Over The Age,Fellow Traveller,Western RPG,,7.3,PlayStation 5,79,dataset3
Teenage Mutant Ninja Turtles: Brothers Unite,7/24/2014,,,Action,,,iOS (iPhone/iPad),67,dataset3
Contract Killer: Zombies,10/7/2011,Glu Mobile,Glu Mobile,FPS,,,iOS (iPhone/iPad),74,dataset3
Black & White 2,10/4/2005,Lionhead Studios,EA Games,Real-Time Strategy,Rated T For Teen,7.1,PC,75,dataset3
Control: Ultimate Edition,2/2/2021,Remedy Entertainment,505 Games,Action Adventure,Rated M For Mature,8.1,PlayStation 5,85,dataset3
Control: Ultimate Edition,2/2/2021,Remedy Entertainment,505 Games,Action Adventure,Rated M For Mature,8.1,Xbox Series X,87,dataset3
Control: Ultimate Edition,2/2/2021,Remedy Entertainment,505 Games,Action Adventure,Rated M For Mature,8.1,PC,84,dataset3
Control: Ultimate Edition,2/2/2021,Remedy Entertainment,505 Games,Action Adventure,Rated M For Mature,8.1,Xbox One,tbd,dataset3
Control: Ultimate Edition,2/2/2021,Remedy Entertainment,505 Games,Action Adventure,Rated M For Mature,8.1,PlayStation 4,tbd,dataset3
Control: Ultimate Edition,2/2/2021,Remedy Entertainment,505 Games,Action Adventure,Rated M For Mature,8.1,Nintendo Switch,72,dataset3
Salt Lake 2002,1/29/2002,Attention To Detail,Eidos Interactive,Athletics,Rated E For Everyone,,Game Boy Advance,55,dataset3
Salt Lake 2002,1/29/2002,Attention To Detail,Eidos Interactive,Athletics,Rated E For Everyone,,PlayStation 2,49,dataset3
Salt Lake 2002,1/29/2002,Attention To Detail,Eidos Interactive,Athletics,Rated E For Everyone,,PC,44,dataset3
WRC 7,10/3/2017,Kylotonn,Maximum Games,Auto Racing Sim,Rated E For Everyone,7.1,PlayStation 4,70,dataset3
WRC 7,10/3/2017,Kylotonn,Maximum Games,Auto Racing Sim,Rated E For Everyone,7.1,Xbox One,70,dataset3
WRC 7,10/3/2017,Kylotonn,Maximum Games,Auto Racing Sim,Rated E For Everyone,7.1,PC,70,dataset3
Sonic and the Black Knight,3/3/2009,Sonic Team,Sega,3D Platformer,Rated E +10 For Everyone +10,7.3,Wii,54,dataset3
Punch-Out!!,5/18/2009,Next Level Games,Nintendo,Combat Sport,Rated E +10 For Everyone +10,8.6,Wii,86,dataset3
KINGDOM of the DEAD,2/10/2022,Dirigo Games,Hook Games,FPS,,5.9,PC,69,dataset3
Fingle,1/12/2012,Game Oven,Game Oven,Miscellaneous,,,iOS (iPhone/iPad),79,dataset3
Final Fantasy Chronicles,6/29/2001,TOSE,Square EA,Compilation,Rated T For Teen,8.7,PlayStation,89,dataset3
EverQuest: The Planes of Power,10/28/2002,Sony Online Entertainment,Sony Online Entertainment,MMORPG,Rated T For Teen,5.6,PC,81,dataset3
MX Superfly featuring Ricky Carmichael,6/17/2002,Pacific Coast Power & Light,THQ,Arcade Racing,Rated E For Everyone,,Xbox,74,dataset3
MX Superfly featuring Ricky Carmichael,6/17/2002,Pacific Coast Power & Light,THQ,Arcade Racing,Rated E For Everyone,,GameCube,76,dataset3
MX Superfly featuring Ricky Carmichael,6/17/2002,Pacific Coast Power & Light,THQ,Arcade Racing,Rated E For Everyone,,PlayStation 2,76,dataset3
Cities in Motion,2/22/2011,Colossal Order,Paradox Interactive,Management,Rated E For Everyone,7.7,PC,70,dataset3
Sniper Elite V2 Remastered,5/14/2019,Rebellion,Rebellion,Tactical Third Person Shooter,Rated M For Mature,7.0,PlayStation 4,65,dataset3
Sniper Elite V2 Remastered,5/14/2019,Rebellion,Rebellion,Tactical Third Person Shooter,Rated M For Mature,7.0,Xbox One,73,dataset3
Sniper Elite V2 Remastered,5/14/2019,Rebellion,Rebellion,Tactical Third Person Shooter,Rated M For Mature,7.0,Nintendo Switch,62,dataset3
Sniper Elite V2 Remastered,5/14/2019,Rebellion,Rebellion,Tactical Third Person Shooter,Rated M For Mature,7.0,PC,61,dataset3
Disney's Tarzan: Return to the Jungle,9/14/2002,Digital Eclipse,Activision,2D Platformer,Rated E For Everyone,,Game Boy Advance,68,dataset3
Blade Guardian,10/1/2012,Mistwalker,Mistwalker,Simulation,,,iOS (iPhone/iPad),63,dataset3
Cloudy With a Chance of Meatballs,9/18/2009,Ubisoft Shanghai,Ubisoft,Action Adventure,Rated E For Everyone,6.6,PSP,tbd,dataset3
Cloudy With a Chance of Meatballs,9/18/2009,Ubisoft Shanghai,Ubisoft,Action Adventure,Rated E For Everyone,6.6,DS,tbd,dataset3
Cloudy With a Chance of Meatballs,9/18/2009,Ubisoft Shanghai,Ubisoft,Action Adventure,Rated E For Everyone,6.6,PlayStation 3,66,dataset3
Cloudy With a Chance of Meatballs,9/18/2009,Ubisoft Shanghai,Ubisoft,Action Adventure,Rated E For Everyone,6.6,Wii,68,dataset3
Cloudy With a Chance of Meatballs,9/18/2009,Ubisoft Shanghai,Ubisoft,Action Adventure,Rated E For Everyone,6.6,Xbox 360,62,dataset3
Cloudy With a Chance of Meatballs,9/18/2009,Ubisoft Shanghai,Ubisoft,Action Adventure,Rated E For Everyone,6.6,PC,tbd,dataset3
FIFA 21,10/6/2020,Electronic Arts,Electronic Arts,Soccer Sim,Rated E For Everyone,1.0,Xbox One,77,dataset3
FIFA 21,10/6/2020,Electronic Arts,Electronic Arts,Soccer Sim,Rated E For Everyone,1.0,PlayStation 4,72,dataset3
FIFA 21,10/6/2020,Electronic Arts,Electronic Arts,Soccer Sim,Rated E For Everyone,1.0,PC,74,dataset3
FIFA 21,10/6/2020,Electronic Arts,Electronic Arts,Soccer Sim,Rated E For Everyone,1.0,Xbox Series X,74,dataset3
FIFA 21,10/6/2020,Electronic Arts,Electronic Arts,Soccer Sim,Rated E For Everyone,1.0,PlayStation 5,74,dataset3
FIFA 21,10/6/2020,Electronic Arts,Electronic Arts,Soccer Sim,Rated E For Everyone,1.0,Nintendo Switch,33,dataset3
Langrisser I & II,3/10/2020,Kadokawa,NIS America,Compilation,Rated T For Teen,7.3,Nintendo Switch,76,dataset3
Langrisser I & II,3/10/2020,Kadokawa,NIS America,Compilation,Rated T For Teen,7.3,PlayStation 4,67,dataset3
Langrisser I & II,3/10/2020,Kadokawa,NIS America,Compilation,Rated T For Teen,7.3,PC,tbd,dataset3
Rugby World Cup 2011,9/1/2011,HB Studios Multimedia,505 Games,Rugby,Rated E For Everyone,3.9,PlayStation 3,50,dataset3
Rugby World Cup 2011,9/1/2011,HB Studios Multimedia,505 Games,Rugby,Rated E For Everyone,3.9,Xbox 360,55,dataset3
Need for Speed III: Hot Pursuit,3/25/1998,EA Canada,Electronic Arts,Auto Racing,Rated E For Everyone,8.5,PlayStation,88,dataset3
Fusion: Genesis,11/9/2011,Starfire Studios,Microsoft Game Studios,Top-Down Shoot-'Em-Up,Rated T For Teen,7.9,Xbox 360,69,dataset3
Bladestorm: The Hundred Years' War,11/6/2007,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,6.2,PlayStation 3,58,dataset3
Bladestorm: The Hundred Years' War,11/6/2007,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,6.2,Xbox 360,63,dataset3
Attack of the Movies 3D,5/18/2010,Panic Button,Majesco,Light Gun,Rated T For Teen,1.9,Xbox 360,38,dataset3
Attack of the Movies 3D,5/18/2010,Panic Button,Majesco,Light Gun,Rated T For Teen,1.9,Wii,39,dataset3
SD Gundam Force: Showdown!,10/11/2004,Tom Create,Bandai,Third Person Shooter,Rated E For Everyone,2.5,PlayStation 2,58,dataset3
Temple of Yog,12/16/2015,CHUDCHUD INDUSTRIES,CHUDCHUD INDUSTRIES,Action,Rated E +10 For Everyone +10,7.6,Wii U,54,dataset3
Disgaea 4: A Promise Unforgotten,9/6/2011,Nippon Ichi Software,NIS America,Turn-Based Tactics,Rated T For Teen,8.2,PlayStation Vita,82,dataset3
Disgaea 4: A Promise Unforgotten,9/6/2011,Nippon Ichi Software,NIS America,Turn-Based Tactics,Rated T For Teen,8.2,PlayStation 3,80,dataset3
SolaRola,7/26/2012,Square Enix,Square Enix,Action Puzzle,,,iOS (iPhone/iPad),70,dataset3
Wakeboarding Unleashed Featuring Shaun Murray,6/10/2003,Shaba Games,Activision,Surfing,Rated E For Everyone,,PlayStation 2,83,dataset3
Wakeboarding Unleashed Featuring Shaun Murray,6/10/2003,Shaba Games,Activision,Surfing,Rated E For Everyone,,Xbox,80,dataset3
Wakeboarding Unleashed Featuring Shaun Murray,6/10/2003,Shaba Games,Activision,Surfing,Rated E For Everyone,,Game Boy Advance,67,dataset3
Wakeboarding Unleashed Featuring Shaun Murray,6/10/2003,Shaba Games,Activision,Surfing,Rated E For Everyone,,PC,tbd,dataset3
iStunt 2,3/9/2011,Miniclip.com,Miniclip.com,Skiing,,8.2,iOS (iPhone/iPad),82,dataset3
The Technomancer,6/28/2016,Spiders,Focus Home Interactive,Western RPG,Rated M For Mature,6.8,PC,56,dataset3
The Technomancer,6/28/2016,Spiders,Focus Home Interactive,Western RPG,Rated M For Mature,6.8,PlayStation 4,60,dataset3
The Technomancer,6/28/2016,Spiders,Focus Home Interactive,Western RPG,Rated M For Mature,6.8,Xbox One,68,dataset3
SnoCross Championship Racing,11/30/2000,Unique Development Studios,Crave,Arcade Racing,Rated E For Everyone,,Dreamcast,62,dataset3
SnoCross Championship Racing,11/30/2000,Unique Development Studios,Crave,Arcade Racing,Rated E For Everyone,,PlayStation,66,dataset3
Agent Dash,8/2/2012,Full Fat,Full Fat,3D Platformer,,5.3,iOS (iPhone/iPad),76,dataset3
Midway Arcade Treasures 2,10/11/2004,Backbone Entertainment,Midway,Compilation,Rated M For Mature,6.6,PlayStation 2,74,dataset3
Midway Arcade Treasures 2,10/11/2004,Backbone Entertainment,Midway,Compilation,Rated M For Mature,6.6,Xbox,74,dataset3
Midway Arcade Treasures 2,10/11/2004,Backbone Entertainment,Midway,Compilation,Rated M For Mature,6.6,GameCube,74,dataset3
Tetris 99,2/13/2019,Arika,Nintendo,Stacking Puzzle,Rated E For Everyone,8.1,Nintendo Switch,83,dataset3
One Piece: Unlimited World Red - Deluxe Edition,9/29/2017,Ganbarion,Bandai Namco Games,Action Adventure,Rated T For Teen,7.0,PlayStation 4,68,dataset3
One Piece: Unlimited World Red - Deluxe Edition,9/29/2017,Ganbarion,Bandai Namco Games,Action Adventure,Rated T For Teen,7.0,Nintendo Switch,68,dataset3
One Piece: Unlimited World Red - Deluxe Edition,9/29/2017,Ganbarion,Bandai Namco Games,Action Adventure,Rated T For Teen,7.0,PC,tbd,dataset3
Kalimba,12/17/2014,Press Play,Press Play,Action Puzzle,Rated E For Everyone,7.4,Xbox One,81,dataset3
Kalimba,12/17/2014,Press Play,Press Play,Action Puzzle,Rated E For Everyone,7.4,PC,81,dataset3
Kalimba,12/17/2014,Press Play,Press Play,Action Puzzle,Rated E For Everyone,7.4,iOS (iPhone/iPad),91,dataset3
Anna's Quest,7/2/2015,Krams Design,Daedalic Entertainment,Point-and-Click,,7.0,PC,74,dataset3
Anna's Quest,7/2/2015,Krams Design,Daedalic Entertainment,Point-and-Click,,7.0,Nintendo Switch,tbd,dataset3
Anna's Quest,7/2/2015,Krams Design,Daedalic Entertainment,Point-and-Click,,7.0,PlayStation 4,tbd,dataset3
Anna's Quest,7/2/2015,Krams Design,Daedalic Entertainment,Point-and-Click,,7.0,Xbox One,tbd,dataset3
Starseed Pilgrim,4/16/2013,Droqen,Droqen,Simulation,,6.2,PC,83,dataset3
Iron Man 2,5/4/2010,Sega Studios San Francisco,Sega,Action Adventure,Rated T For Teen,3.8,PlayStation 3,41,dataset3
Iron Man 2,5/4/2010,Sega Studios San Francisco,Sega,Action Adventure,Rated T For Teen,3.8,Xbox 360,41,dataset3
Iron Man 2,5/4/2010,Sega Studios San Francisco,Sega,Action Adventure,Rated T For Teen,3.8,Wii,41,dataset3
Iron Man 2,5/4/2010,Sega Studios San Francisco,Sega,Action Adventure,Rated T For Teen,3.8,DS,54,dataset3
Iron Man 2,5/4/2010,Sega Studios San Francisco,Sega,Action Adventure,Rated T For Teen,3.8,PSP,49,dataset3
NBA 2K11,10/5/2010,Visual Concepts,2K Sports,Basketball Sim,Rated E For Everyone,8.3,Wii,tbd,dataset3
NBA 2K11,10/5/2010,Visual Concepts,2K Sports,Basketball Sim,Rated E For Everyone,8.3,PC,82,dataset3
NBA 2K11,10/5/2010,Visual Concepts,2K Sports,Basketball Sim,Rated E For Everyone,8.3,PSP,tbd,dataset3
NBA 2K11,10/5/2010,Visual Concepts,2K Sports,Basketball Sim,Rated E For Everyone,8.3,PlayStation 3,89,dataset3
NBA 2K11,10/5/2010,Visual Concepts,2K Sports,Basketball Sim,Rated E For Everyone,8.3,Xbox 360,89,dataset3
RocketBowl,9/10/2008,Large Animal,D3Publisher,Bowling,Rated E For Everyone,,Xbox 360,54,dataset3
Dragon Age: Origins,11/3/2009,BioWare,Electronic Arts,Western RPG,Rated M For Mature,8.4,PC,91,dataset3
Dragon Age: Origins,11/3/2009,BioWare,Electronic Arts,Western RPG,Rated M For Mature,8.4,PlayStation 3,87,dataset3
Dragon Age: Origins,11/3/2009,BioWare,Electronic Arts,Western RPG,Rated M For Mature,8.4,Xbox 360,86,dataset3
Star Wars: Assault Team,3/27/2014,,,Card Battle,,,iOS (iPhone/iPad),69,dataset3
Top Gun (2010),8/17/2010,Doublesix,Paramount Digital Entertainment,Aircraft Combat Sim,Rated T For Teen,4.3,PlayStation 3,49,dataset3
Top Gun (2010),8/17/2010,Doublesix,Paramount Digital Entertainment,Aircraft Combat Sim,Rated T For Teen,4.3,PC,tbd,dataset3
Dead Space: Extraction,9/29/2009,Visceral Games,Electronic Arts,Light Gun,Rated M For Mature,7.6,Wii,82,dataset3
Dead Space: Extraction,9/29/2009,Visceral Games,Electronic Arts,Light Gun,Rated M For Mature,7.6,PlayStation 3,79,dataset3
Ori and the Blind Forest: Definitive Edition,3/11/2016,Moon Studios,Microsoft Game Studios,Metroidvania,Rated E For Everyone,8.2,Xbox One,88,dataset3
Ori and the Blind Forest: Definitive Edition,3/11/2016,Moon Studios,Microsoft Game Studios,Metroidvania,Rated E For Everyone,8.2,PC,88,dataset3
Ori and the Blind Forest: Definitive Edition,3/11/2016,Moon Studios,Microsoft Game Studios,Metroidvania,Rated E For Everyone,8.2,Nintendo Switch,90,dataset3
Disney's Lilo & Stitch,6/14/2002,Blitz Games,SCEA,3D Platformer,Rated E For Everyone,6.6,PlayStation,54,dataset3
Airplane Mode,10/15/2020,Bacronym,AMC,Virtual Life,,,PC,53,dataset3
REKT! High Octane Stunts,5/26/2021,No Gravity Games,No Gravity Games,Auto Racing,Rated E For Everyone,,iOS (iPhone/iPad),78,dataset3
REKT! High Octane Stunts,5/26/2021,No Gravity Games,No Gravity Games,Auto Racing,Rated E For Everyone,,Nintendo Switch,tbd,dataset3
REKT! High Octane Stunts,5/26/2021,No Gravity Games,No Gravity Games,Auto Racing,Rated E For Everyone,,PC,tbd,dataset3
REKT! High Octane Stunts,5/26/2021,No Gravity Games,No Gravity Games,Auto Racing,Rated E For Everyone,,Xbox One,69,dataset3
