title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source,summary
Mortal Kombat 40,2016-03-01,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,Xbox One,tbd,dataset3,
Mortal Kombat 40,2016-03-01,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,PlayStation 4,85,dataset3,
Mortal Kombat 40,2016-03-01,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,PC,84,dataset3,
Resident Evil 5: Desperate Escape,2010-03-03,Capcom,Capcom,Survival,Rated M For Mature,7.6,PlayStation 3,73,dataset3,
Resident Evil 5: Desperate Escape,2010-03-03,Capcom,Capcom,Survival,Rated M For Mature,7.6,Xbox 360,76,dataset3,
Silent Hunter 5: Battle of the Atlantic,2010-03-02,Ubisoft Romania,Ubisoft,Marine Combat Sim,Rated T For Teen,5.6,PC,62,dataset3,
Saban's Power Rangers Megaforce,2013-11-05,Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,4.5,Nintendo 3DS,30,dataset3,
Block Fortress,2013-03-07,,,Action,,,iOS,83,dataset3,
WWE 2K14,2013-10-29,Yuke's,2K Games,Wrestling,Rated T For Teen,7.7,Xbox 360,75,dataset3,
WWE 2K14,2013-10-29,Yuke's,2K Games,Wrestling,Rated T For Teen,7.7,PlayStation 3,74,dataset3,
Murder by Numbers,2020-03-06,Mediatonic,The Irregular Corporation,Visual Novel,,6.7,PC,79,dataset3,
Murder by Numbers,2020-03-06,Mediatonic,The Irregular Corporation,Visual Novel,,6.7,Nintendo Switch,78,dataset3,
Ratchet & Clank: Size Matters,2007-02-13,High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,8.0,PSP,85,dataset3,
Ratchet & Clank: Size Matters,2007-02-13,High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,8.0,PlayStation 2,62,dataset3,
Unepic,2014-01-16,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,PC,68,dataset3,
Unepic,2014-01-16,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,Wii U,72,dataset3,
Unepic,2014-01-16,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,Xbox One,75,dataset3,
Unepic,2014-01-16,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,PlayStation 4,66,dataset3,
Unepic,2014-01-16,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,PlayStation Vita,tbd,dataset3,
Unepic,2014-01-16,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,Nintendo Switch,65,dataset3,
The Lord of the Rings: The Battle for Middle-Earth 2 - The Rise of the Witch-King,2006-11-28,EA LA,EA Games,Real-Time Strategy,Rated T For Teen,8.8,PC,78,dataset3,
MLB The Show 18,2018-03-27,Sony Interactive Entertainment,Sony Interactive Entertainment,Baseball Sim,Rated E For Everyone,6.3,PlayStation 4,82,dataset3,
Smelter,2021-04-22,X Plus,DANGEN Entertainment,2D Platformer,Rated T For Teen,6.8,PlayStation 4,65,dataset3,
Smelter,2021-04-22,X Plus,DANGEN Entertainment,2D Platformer,Rated T For Teen,6.8,Nintendo Switch,75,dataset3,
Smelter,2021-04-22,X Plus,DANGEN Entertainment,2D Platformer,Rated T For Teen,6.8,PC,73,dataset3,
Smelter,2021-04-22,X Plus,DANGEN Entertainment,2D Platformer,Rated T For Teen,6.8,Xbox One,82,dataset3,
Ninjatown: Trees Of Doom!,2010-05-05,"Venan Entertainment, Inc.","Venan Entertainment, Inc.",Action,,,iOS,82,dataset3,
